session,zone,state,lga,ward,school
2019/2020,South South,Edo,Owan East,Emai I,"Government Secondary School, Emai I | Community Secondary School, Emai I | Unity College, Owan East | Comprehensive High School, Emai I"
2019/2020,South South,Edo,Owan East,Emai II,"Government Secondary School, Emai II | Community Secondary School, Emai II | Unity College, Owan East | Comprehensive High School, Emai II"
2019/2020,South South,Edo,Owan East,Igue/Ikao,"Government Secondary School, Igue/Ikao | Community Secondary School, Igue/Ikao | Unity College, Owan East | Comprehensive High School, Igue/Ikao"
2019/2020,South West,Ekiti,Ado-Ekiti,Ado 'A' Idofin,"Government Secondary School, Ado 'A' Idofin | Community Secondary School, Ado 'A' Idofin | Unity College, Ado Ekiti | Comprehensive High School, Ado 'A' Idofin"
2019/2020,South West,Ekiti,Ado-Ekiti,Ado 'B' Inisa,"Government Secondary School, Ado 'B' Inisa | Community Secondary School, Ado 'B' Inisa | Unity College, Ado Ekiti | Comprehensive High School, Ado 'B' Inisa"
2019/2020,South West,Ekiti,Ado-Ekiti,Ado 'C' Idolofin,"Government Secondary School, Ado 'C' Idolofin | Community Secondary School, Ado 'C' Idolofin | Unity College, Ado Ekiti | Comprehensive High School, Ado 'C' Idolofin"
2019/2020,South West,Ekiti,Efon,Efon I,"Government Secondary School, Efon I | Community Secondary School, Efon I | Unity College, Efon | Comprehensive High School, Efon I"
2019/2020,South West,Ekiti,Efon,Efon II,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2019/2020,South West,Ekiti,Efon,Efon III,"Government Secondary School, Efon III | Community Secondary School, Efon III | Unity College, Efon | Comprehensive High School, Efon III"
2019/2020,South West,Ekiti,Emure,Ida Mudu I,"Government Secondary School, Ida Mudu I | Community Secondary School, Ida Mudu I | Unity College, Emure | Comprehensive High School, Ida Mudu I"
2019/2020,South West,Ekiti,Emure,Ida Mudu II,"Government Secondary School, Ida Mudu II | Community Secondary School, Ida Mudu II | Unity College, Emure | Comprehensive High School, Ida Mudu II"
2019/2020,South West,Ekiti,Emure,Odo Emure I,"Government Secondary School, Odo Emure I | Community Secondary School, Odo Emure I | Unity College, Emure | Comprehensive High School, Odo Emure I"
2019/2020,South West,Ekiti,Gbonyin,Ado 'A' Idofin,"Government Secondary School, Ado 'A' Idofin | Community Secondary School, Ado 'A' Idofin | Unity College, Gbonyin | Comprehensive High School, Ado 'A' Idofin"
2019/2020,South West,Ekiti,Gbonyin,Ado 'B' Inisa,"Government Secondary School, Ado 'B' Inisa | Community Secondary School, Ado 'B' Inisa | Unity College, Gbonyin | Comprehensive High School, Ado 'B' Inisa"
2019/2020,South West,Ekiti,Gbonyin,Ado 'C' Idolofin,"Government Secondary School, Ado 'C' Idolofin | Community Secondary School, Ado 'C' Idolofin | Unity College, Gbonyin | Comprehensive High School, Ado 'C' Idolofin"
2019/2020,South West,Ekiti,Ijero,Ekamarun Ward 'A',"Government Secondary School, Ekamarun Ward 'A' | Community Secondary School, Ekamarun Ward 'A' | Unity College, Ijero | Comprehensive High School, Ekamarun Ward 'A'"
2019/2020,South West,Ekiti,Ijero,Ekameta,"Government Secondary School, Ekameta | Community Secondary School, Ekameta | Unity College, Ijero | Comprehensive High School, Ekameta"
2019/2020,South West,Ekiti,Ijero,Ijero Ward 'A',"Government Secondary School, Ijero Ward 'A' | Community Secondary School, Ijero Ward 'A' | Unity College, Ijero | Comprehensive High School, Ijero Ward 'A'"
2019/2020,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,"Government Secondary School, City Centre | Community Secondary School, City Centre | Unity College, Abuja Municipal | Comprehensive High School, City Centre"
2019/2020,North Central,Abuja Federal Capital Territory,Municipal Area Council,Garki,"Government Secondary School, Garki | Community Secondary School, Garki | Unity College, Abuja Municipal | Comprehensive High School, Garki"
2019/2020,North Central,Abuja Federal Capital Territory,Municipal Area Council,Gui,"Government Secondary School, Gui | Community Secondary School, Gui | Unity College, Abuja Municipal | Comprehensive High School, Gui"
2019/2020,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,"Government Secondary School, Bwari Central | Community Secondary School, Bwari Central | Unity College, Bwari | Comprehensive High School, Bwari Central"
2019/2020,North Central,Abuja Federal Capital Territory,Bwari,Byazhin,"Government Secondary School, Byazhin | Community Secondary School, Byazhin | Unity College, Bwari | Comprehensive High School, Byazhin"
2019/2020,North Central,Abuja Federal Capital Territory,Bwari,Dutse Alhaji,"Government Secondary School, Dutse Alhaji | Community Secondary School, Dutse Alhaji | Unity College, Bwari | Comprehensive High School, Dutse Alhaji"
2019/2020,North Central,Abuja Federal Capital Territory,Gwagwalada,Dobi,"Government Secondary School, Dobi | Community Secondary School, Dobi | Unity College, Gwagwalada | Comprehensive High School, Dobi"
2019/2020,North Central,Abuja Federal Capital Territory,Gwagwalada,Gwagwalada Centre,"Government Secondary School, Gwagwalada Centre | Community Secondary School, Gwagwalada Centre | Unity College, Gwagwalada | Comprehensive High School, Gwagwalada Centre"
2019/2020,North Central,Abuja Federal Capital Territory,Gwagwalada,Gwako,"Government Secondary School, Gwako | Community Secondary School, Gwako | Unity College, Gwagwalada | Comprehensive High School, Gwako"
2019/2020,North Central,Abuja Federal Capital Territory,Kuje,Chibiri,"Government Secondary School, Chibiri | Community Secondary School, Chibiri | Unity College, Kuje | Comprehensive High School, Chibiri"
2019/2020,North Central,Abuja Federal Capital Territory,Kuje,Gaube,"Government Secondary School, Gaube | Community Secondary School, Gaube | Unity College, Kuje | Comprehensive High School, Gaube"
2019/2020,North Central,Abuja Federal Capital Territory,Kuje,Gudun Karya,"Government Secondary School, Gudun Karya | Community Secondary School, Gudun Karya | Unity College, Kuje | Comprehensive High School, Gudun Karya"
2019/2020,North Central,Abuja Federal Capital Territory,Kwali,Ashara,"Government Secondary School, Ashara | Community Secondary School, Ashara | Unity College, Kwali | Comprehensive High School, Ashara"
2019/2020,North Central,Abuja Federal Capital Territory,Kwali,Dafa,"Government Secondary School, Dafa | Community Secondary School, Dafa | Unity College, Kwali | Comprehensive High School, Dafa"
2019/2020,North Central,Abuja Federal Capital Territory,Kwali,Gumbo,"Government Secondary School, Gumbo | Community Secondary School, Gumbo | Unity College, Kwali | Comprehensive High School, Gumbo"
2019/2020,North East,Gombe,Balanga,Bambam,"Government Secondary School, Bambam | Community Secondary School, Bambam | Unity College, Balanga | Comprehensive High School, Bambam"
2019/2020,North East,Gombe,Balanga,Bangu,"Government Secondary School, Bangu | Community Secondary School, Bangu | Unity College, Balanga | Comprehensive High School, Bangu"
2019/2020,North East,Gombe,Balanga,Dadiya,"Government Secondary School, Dadiya | Community Secondary School, Dadiya | Unity College, Balanga | Comprehensive High School, Dadiya"
2019/2020,North East,Gombe,Gombe,Ajiya,"Government Secondary School, Ajiya | Community Secondary School, Ajiya | Unity College, Gombe | Comprehensive High School, Ajiya"
2019/2020,North East,Gombe,Gombe,Bajoga,"Government Secondary School, Bajoga | Community Secondary School, Bajoga | Unity College, Gombe | Comprehensive High School, Bajoga"
2019/2020,North East,Gombe,Gombe,Bolari East,"Government Secondary School, Bolari East | Community Secondary School, Bolari East | Unity College, Gombe | Comprehensive High School, Bolari East"
2019/2020,North East,Gombe,Kaltungo,Awak,"Government Secondary School, Awak | Community Secondary School, Awak | Unity College, Kaltungo | Comprehensive High School, Awak"
2019/2020,North East,Gombe,Kaltungo,Bule / Kaltin,"Government Secondary School, Bule / Kaltin | Community Secondary School, Bule / Kaltin | Unity College, Kaltungo | Comprehensive High School, Bule / Kaltin"
2019/2020,North East,Gombe,Kaltungo,Kaltungo East,"Government Secondary School, Kaltungo East | Community Secondary School, Kaltungo East | Unity College, Kaltungo | Comprehensive High School, Kaltungo East"
2019/2020,North East,Gombe,Nafada,Barwo / Nasarawo,"Government Secondary School, Barwo / Nasarawo | Community Secondary School, Barwo / Nasarawo | Unity College, Nafada | Comprehensive High School, Barwo / Nasarawo"
2019/2020,North East,Gombe,Nafada,Barwo Winde,"Government Secondary School, Barwo Winde | Community Secondary School, Barwo Winde | Unity College, Nafada | Comprehensive High School, Barwo Winde"
2019/2020,North East,Gombe,Nafada,Birin Bolewa,"Government Secondary School, Birin Bolewa | Community Secondary School, Birin Bolewa | Unity College, Nafada | Comprehensive High School, Birin Bolewa"
2019/2020,North East,Gombe,Yamaltu/Deba,Deba,"Government Secondary School, Deba | Community Secondary School, Deba | Unity College, Yamaltu/Deba | Comprehensive High School, Deba"
2019/2020,North East,Gombe,Yamaltu/Deba,Difa / Lubo / Kinafa,"Government Secondary School, Difa / Lubo / Kinafa | Community Secondary School, Difa / Lubo / Kinafa | Unity College, Yamaltu/Deba | Comprehensive High School, Difa / Lubo / Kinafa"
2019/2020,North East,Gombe,Yamaltu/Deba,Gwani / Shinga / Wade,"Government Secondary School, Gwani / Shinga / Wade | Community Secondary School, Gwani / Shinga / Wade | Unity College, Yamaltu/Deba | Comprehensive High School, Gwani / Shinga / Wade"
2019/2020,South East,Imo,Aboh-Mbaise,Amuzu,"Government Secondary School, Amuzu | Community Secondary School, Amuzu | Unity College, Mbaise | Comprehensive High School, Amuzu"
2019/2020,South East,Imo,Aboh-Mbaise,Enyiogugu,"Government Secondary School, Enyiogugu | Community Secondary School, Enyiogugu | Unity College, Mbaise | Comprehensive High School, Enyiogugu"
2019/2020,South East,Imo,Aboh-Mbaise,Ibeku,"Government Secondary School, Ibeku | Community Secondary School, Ibeku | Unity College, Mbaise | Comprehensive High School, Ibeku"
2019/2020,South East,Imo,Okigwe,Agbobu,"Government Secondary School, Agbobu | Community Secondary School, Agbobu | Unity College, Okigwe | Comprehensive High School, Agbobu"
2019/2020,South East,Imo,Okigwe,Aku,"Government Secondary School, Aku | Community Secondary School, Aku | Unity College, Okigwe | Comprehensive High School, Aku"
2019/2020,South East,Imo,Okigwe,Amuro,"Government Secondary School, Amuro | Community Secondary School, Amuro | Unity College, Okigwe | Comprehensive High School, Amuro"
2019/2020,South East,Imo,Orlu,Amaifeke,"Government Secondary School, Amaifeke | Community Secondary School, Amaifeke | Unity College, Orlu | Comprehensive High School, Amaifeke"
2019/2020,South East,Imo,Orlu,Ebenese/Umueze/Nnachi Ihioma,"Government Secondary School, Ebenese/Umueze/Nnachi Ihioma | Community Secondary School, Ebenese/Umueze/Nnachi Ihioma | Unity College, Orlu | Comprehensive High School, Ebenese/Umueze/Nnachi Ihioma"
2019/2020,South East,Imo,Orlu,Eziachi/Amike,"Government Secondary School, Eziachi/Amike | Community Secondary School, Eziachi/Amike | Unity College, Orlu | Comprehensive High School, Eziachi/Amike"
2019/2020,South East,Imo,Owerri North,Agbala/Obube/Ulakwo,"Government Secondary School, Agbala/Obube/Ulakwo | Community Secondary School, Agbala/Obube/Ulakwo | Unity College, Owerri North | Comprehensive High School, Agbala/Obube/Ulakwo"
2019/2020,South East,Imo,Owerri North,Awaka/Ihitte-Ogada,"Government Secondary School, Awaka/Ihitte-Ogada | Community Secondary School, Awaka/Ihitte-Ogada | Unity College, Owerri North | Comprehensive High School, Awaka/Ihitte-Ogada"
2019/2020,South East,Imo,Owerri North,Egbu,"Government Secondary School, Egbu | Community Secondary School, Egbu | Unity College, Owerri North | Comprehensive High School, Egbu"
2019/2020,South East,Imo,Owerri West,Amakohia-Ubi/Ndegwu Ohii,"Government Secondary School, Amakohia-Ubi/Ndegwu Ohii | Community Secondary School, Amakohia-Ubi/Ndegwu Ohii | Unity College, Owerri West | Comprehensive High School, Amakohia-Ubi/Ndegwu Ohii"
2019/2020,South East,Imo,Owerri West,Avu/Oforola,"Government Secondary School, Avu/Oforola | Community Secondary School, Avu/Oforola | Unity College, Owerri West | Comprehensive High School, Avu/Oforola"
2019/2020,South East,Imo,Owerri West,Emeabiam/Okolochi,"Government Secondary School, Emeabiam/Okolochi | Community Secondary School, Emeabiam/Okolochi | Unity College, Owerri West | Comprehensive High School, Emeabiam/Okolochi"
2019/2020,North West,Kaduna,Kaduna North,Badarawa,"Government Secondary School, Badarawa | Community Secondary School, Badarawa | Unity College, Kaduna North | Comprehensive High School, Badarawa"
2019/2020,North West,Kaduna,Kaduna North,Gabasawa,"Government Secondary School, Gabasawa | Community Secondary School, Gabasawa | Unity College, Kaduna North | Comprehensive High School, Gabasawa"
2019/2020,North West,Kaduna,Kaduna North,Gaji,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2019/2020,North West,Kaduna,Kaduna South,Badiko,"Government Secondary School, Badiko | Community Secondary School, Badiko | Unity College, Kaduna South | Comprehensive High School, Badiko"
2019/2020,North West,Kaduna,Kaduna South,Barnawa,"Government Secondary School, Barnawa | Community Secondary School, Barnawa | Unity College, Kaduna South | Comprehensive High School, Barnawa"
2019/2020,North West,Kaduna,Kaduna South,Kakuri Gwari,"Government Secondary School, Kakuri Gwari | Community Secondary School, Kakuri Gwari | Unity College, Kaduna South | Comprehensive High School, Kakuri Gwari"
